index,Predictor_Set,Model,PR_AUC,Brier_Score,Resolution,Reliability,Uncertainty,ROC_AUC,Num_Forecasts
26,Deter_PCA,Logit_L2,0.5216,0.0839,0.0312,0.0299,0.0862,0.9276,420
25,Deter_PCA,Logit_L1,0.5034,0.0879,0.0266,0.0286,0.0862,0.9165,420
17,Deter,Logit_L1,0.4902,0.0828,0.0213,0.0178,0.0862,0.8866,420
10,PCA_Factors_8,Logit_L2,0.4806,0.0869,0.0339,0.034,0.0862,0.9316,420
9,PCA_Factors_8,Logit_L1,0.4758,0.0982,0.0295,0.0408,0.0862,0.9295,420
30,Deter_Avg,Logit_L2,0.4594,0.1045,0.0241,0.0423,0.0862,0.9049,420
18,Deter,Logit_L2,0.4511,0.0865,0.0252,0.0261,0.0862,0.897,420
27,Deter_PCA,XGBoost,0.449,0.0726,0.0244,0.012,0.0862,0.8779,420
24,Deter_PCA,Logit,0.4461,0.091,0.0245,0.029,0.0862,0.8988,420
29,Deter_Avg,Logit_L1,0.4351,0.1091,0.0217,0.0443,0.0862,0.8885,420
28,Deter_Avg,Logit,0.4085,0.1061,0.0229,0.0429,0.0862,0.8645,420
11,PCA_Factors_8,XGBoost,0.4012,0.0767,0.0156,0.0074,0.0862,0.8419,420
8,PCA_Factors_8,Logit,0.3984,0.0974,0.0229,0.034,0.0862,0.8932,420
23,Deter_States,XGBoost,0.3846,0.0795,0.0154,0.0092,0.0862,0.8766,420
31,Deter_Avg,XGBoost,0.3662,0.0974,0.0152,0.0285,0.0862,0.862,420
19,Deter,XGBoost,0.3631,0.0815,0.0149,0.0117,0.0862,0.8461,420
16,Deter,Logit,0.3321,0.1132,0.014,0.041,0.0862,0.8058,420
7,Full,XGBoost,0.3318,0.0952,0.0117,0.0239,0.0862,0.8677,420
13,ADS,Logit_L1,0.3089,0.2199,0.0147,0.1473,0.0862,0.8253,420
12,ADS,Logit,0.3086,0.2195,0.0143,0.1467,0.0862,0.8251,420
14,ADS,Logit_L2,0.3074,0.2203,0.0143,0.1478,0.0862,0.8259,420
21,Deter_States,Logit_L1,0.3057,0.1165,0.0093,0.0388,0.0862,0.7669,420
20,Deter_States,Logit,0.2962,0.1086,0.01,0.0328,0.0862,0.8033,420
22,Deter_States,Logit_L2,0.2894,0.0979,0.0111,0.0232,0.0862,0.8254,420
6,Full,Logit_L2,0.2423,0.1156,0.0104,0.0395,0.0862,0.7521,420
15,ADS,XGBoost,0.2332,0.1473,0.0052,0.066,0.0862,0.6668,420
0,Yield,Logit,0.2111,0.1479,0.0127,0.0744,0.0862,0.7374,420
1,Yield,Logit_L1,0.2077,0.144,0.0136,0.0713,0.0862,0.7376,420
2,Yield,Logit_L2,0.2074,0.15,0.0122,0.0761,0.0862,0.7362,420
5,Full,Logit_L1,0.1927,0.1293,0.0067,0.0484,0.0862,0.7457,420
4,Full,Logit,0.1917,0.2297,0.0029,0.1464,0.0862,0.6798,420
3,Yield,XGBoost,0.181,0.1489,0.0068,0.0701,0.0862,0.7289,420
