n_factors,h_qt,q_qt,Predictor_Set,Model,Avg_Brier_Score,Valid_Predictions,Total_Predictions
1,3,0.25,TFDI_pca,Logit,0.08935594648745653,420,420
2,3,0.25,TFDI_pca,Logit,0.07657957503472013,420,420
3,3,0.25,TFDI_pca,Logit,0.07629378422175753,420,420
4,3,0.25,TFDI_pca,Logit,0.07757911210051775,420,420
5,3,0.25,TFDI_pca,Logit,0.07769378869996851,420,420
6,3,0.25,TFDI_pca,Logit,0.07007648295192631,420,420
7,3,0.25,TFDI_pca,Logit,0.07409927130077971,420,420
8,3,0.25,TFDI_pca,Logit,0.07328693254708693,420,420
9,3,0.25,TFDI_pca,Logit,0.07096901581636855,420,420
10,3,0.25,TFDI_pca,Logit,0.06616575739488126,420,420
11,3,0.25,TFDI_pca,Logit,0.06733800179537992,420,420
12,3,0.25,TFDI_pca,Logit,0.06546433012183839,420,420
